timestamp,embedding_case,umap_n_components,umap_n_neighbors,umap_min_dist,umap_metric,umap2d_n_neighbors,umap2d_min_dist,umap2d_metric,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_metric,random_state,n_clusters,noise_ratio,min_size,median_size,max_size
2026-04-17T03:12:10,video,10,10,0.0,euclidean,15,0.1,cosine,25,,leaf,euclidean,42,5,0.3702,38,73,208
2026-04-17T03:12:11,video,10,10,0.0,euclidean,15,0.1,cosine,25,,leaf,cosine,42,5,0.4016,34,65,213
2026-04-17T03:12:23,video,10,10,0.0,correlation,15,0.1,cosine,25,,leaf,euclidean,42,6,0.5683,35,48,81
2026-04-17T03:12:23,video,10,10,0.0,correlation,15,0.1,euclidean,25,,leaf,euclidean,42,6,0.5683,35,48,81
2026-04-17T03:12:24,video,10,10,0.0,correlation,15,0.1,euclidean,25,,leaf,cosine,42,7,0.5847,33,37,63
2026-04-17T03:12:24,video,10,10,0.0,correlation,15,0.1,cosine,25,,leaf,cosine,42,7,0.5847,33,37,63
2026-04-17T03:12:35,video,10,10,0.05,cosine,15,0.1,euclidean,10,,eom,cosine,42,17,0.3238,10,18,80
2026-04-17T03:12:35,video,10,10,0.05,cosine,15,0.1,euclidean,10,,eom,euclidean,42,3,0.0,16,17,699
2026-04-17T03:12:35,video,10,10,0.05,cosine,15,0.1,cosine,10,,eom,euclidean,42,3,0.0,16,17,699
2026-04-17T03:12:35,video,10,10,0.05,cosine,15,0.1,cosine,10,,eom,cosine,42,17,0.3238,10,18,80
2026-04-17T03:12:47,video,10,10,0.05,euclidean,15,0.1,euclidean,10,,eom,euclidean,42,4,0.0096,14,16,679
2026-04-17T03:12:47,video,10,10,0.05,euclidean,15,0.1,euclidean,10,,eom,cosine,42,17,0.3566,11,16,69
2026-04-17T03:12:47,video,10,10,0.05,euclidean,15,0.1,cosine,10,,eom,euclidean,42,4,0.0096,14,16,679
2026-04-17T03:12:47,video,10,10,0.05,euclidean,15,0.1,cosine,10,,eom,cosine,42,17,0.3566,11,16,69
2026-04-17T03:13:00,video,10,10,0.05,correlation,15,0.1,euclidean,10,,eom,euclidean,42,16,0.276,12,17,200
2026-04-17T03:13:00,video,10,10,0.05,correlation,15,0.1,euclidean,10,,eom,cosine,42,19,0.3566,12,19,61
2026-04-17T03:13:00,video,10,10,0.05,correlation,15,0.1,cosine,10,,eom,euclidean,42,16,0.276,12,17,200
2026-04-17T03:13:00,video,10,10,0.05,correlation,15,0.1,cosine,10,,eom,cosine,42,19,0.3566,12,19,61
2026-04-17T03:13:11,video,10,10,0.05,cosine,15,0.1,cosine,10,,leaf,euclidean,42,19,0.4249,11,17,56
2026-04-17T03:13:11,video,10,10,0.05,cosine,15,0.1,euclidean,10,,leaf,euclidean,42,19,0.4249,11,17,56
2026-04-17T03:13:11,video,10,10,0.05,cosine,15,0.1,cosine,10,,leaf,cosine,42,20,0.418,10,17,62
2026-04-17T03:13:11,video,10,10,0.05,cosine,15,0.1,euclidean,10,,leaf,cosine,42,20,0.418,10,17,62
2026-04-17T03:13:24,video,10,10,0.05,euclidean,15,0.1,euclidean,10,,leaf,euclidean,42,19,0.4426,10,16,61
2026-04-17T03:13:24,video,10,10,0.05,euclidean,15,0.1,euclidean,10,,leaf,cosine,42,19,0.4303,11,16,61
2026-04-17T03:13:24,video,10,10,0.05,euclidean,15,0.1,cosine,10,,leaf,euclidean,42,19,0.4426,10,16,61
2026-04-17T03:13:24,video,10,10,0.05,euclidean,15,0.1,cosine,10,,leaf,cosine,42,19,0.4303,11,16,61
2026-04-17T03:13:35,video,10,10,0.05,correlation,15,0.1,cosine,10,,leaf,euclidean,42,20,0.377,12,17,66
2026-04-17T03:13:35,video,10,10,0.05,correlation,15,0.1,euclidean,10,,leaf,cosine,42,19,0.3566,12,19,61
2026-04-17T03:13:35,video,10,10,0.05,correlation,15,0.1,euclidean,10,,leaf,euclidean,42,20,0.377,12,17,66
2026-04-17T03:13:35,video,10,10,0.05,correlation,15,0.1,cosine,10,,leaf,cosine,42,19,0.3566,12,19,61
2026-04-17T03:13:48,video,10,10,0.05,cosine,15,0.1,euclidean,15,,eom,euclidean,42,3,0.0,16,17,699
2026-04-17T03:13:48,video,10,10,0.05,cosine,15,0.1,cosine,15,,eom,euclidean,42,3,0.0,16,17,699
2026-04-17T03:13:48,video,10,10,0.05,cosine,15,0.1,cosine,15,,eom,cosine,42,3,0.0014,16,17,698
2026-04-17T03:13:48,video,10,10,0.05,cosine,15,0.1,euclidean,15,,eom,cosine,42,3,0.0014,16,17,698
2026-04-17T03:14:00,video,10,10,0.05,euclidean,15,0.1,euclidean,15,,eom,euclidean,42,3,0.0,16,16,700
2026-04-17T03:14:00,video,10,10,0.05,euclidean,15,0.1,euclidean,15,,eom,cosine,42,3,0.0,16,16,700
2026-04-17T03:14:00,video,10,10,0.05,euclidean,15,0.1,cosine,15,,eom,euclidean,42,3,0.0,16,16,700
2026-04-17T03:14:01,video,10,10,0.05,euclidean,15,0.1,cosine,15,,eom,cosine,42,3,0.0,16,16,700
2026-04-17T03:14:12,video,10,10,0.05,correlation,15,0.1,euclidean,15,,eom,euclidean,42,3,0.0,16,17,699
2026-04-17T03:14:12,video,10,10,0.05,correlation,15,0.1,euclidean,15,,eom,cosine,42,8,0.2158,16,28,233
2026-04-17T03:14:12,video,10,10,0.05,correlation,15,0.1,cosine,15,,eom,cosine,42,8,0.2158,16,28,233
2026-04-17T03:14:12,video,10,10,0.05,correlation,15,0.1,cosine,15,,eom,euclidean,42,3,0.0,16,17,699
2026-04-17T03:14:25,video,10,10,0.05,cosine,15,0.1,cosine,15,,leaf,euclidean,42,12,0.444,16,28,69
