umap_n_components,umap_n_neighbors,umap_min_dist,umap_metric,hdbscan_min_cluster_size,hdbscan_cluster_selection_method,hdbscan_metric,whitening,n_clusters,noise_ratio,dbcv,silhouette
15,10,0.05,cosine,15,eom,euclidean,whiten_64,10,0.5538,0.2017,0.4731
15,15,0.0,correlation,10,eom,cosine,whiten_64,17,0.4921,0.397,0.7179
15,15,0.0,correlation,15,eom,cosine,whiten_64,11,0.549,0.2902,0.6306
15,15,0.0,correlation,10,eom,euclidean,whiten_64,2,0.0,0.6049,0.3585
15,15,0.0,correlation,15,eom,euclidean,whiten_64,10,0.5079,0.2174,0.4454
15,15,0.0,cosine,10,eom,cosine,whiten_64,17,0.3906,0.4241,0.5816
15,15,0.0,cosine,15,eom,cosine,whiten_64,10,0.5756,0.3029,0.6977
15,15,0.0,cosine,10,eom,euclidean,whiten_64,2,0.0,0.5841,0.3169
15,15,0.0,cosine,15,eom,euclidean,whiten_64,11,0.5683,0.2313,0.5053
15,15,0.05,correlation,10,eom,cosine,whiten_64,17,0.5357,0.3542,0.757
15,15,0.05,correlation,10,eom,euclidean,whiten_64,2,0.0,0.5704,0.3233
15,15,0.05,correlation,15,eom,cosine,whiten_64,12,0.6215,0.273,0.6793
15,15,0.05,correlation,15,eom,euclidean,whiten_64,2,0.0423,0.2846,0.2169
15,15,0.05,cosine,10,eom,euclidean,whiten_64,16,0.4534,0.2478,0.5239
15,15,0.05,cosine,15,eom,euclidean,whiten_64,10,0.5127,0.1769,0.4354
15,15,0.05,cosine,15,eom,cosine,whiten_64,11,0.5961,0.3106,0.7472
15,15,0.05,cosine,10,eom,cosine,whiten_64,18,0.4885,0.3856,0.7283
35,10,0.0,correlation,10,eom,euclidean,whiten_64,18,0.468,0.2428,0.497
35,10,0.0,correlation,10,eom,cosine,whiten_64,20,0.4268,0.4017,0.7104
35,10,0.0,correlation,15,eom,cosine,whiten_64,12,0.5417,0.3276,0.6853
35,10,0.0,correlation,15,eom,euclidean,whiten_64,11,0.5018,0.2475,0.4816
35,10,0.0,cosine,10,eom,cosine,whiten_64,19,0.4559,0.414,0.7226
35,10,0.0,cosine,10,eom,euclidean,whiten_64,16,0.3434,0.2952,0.4535
35,10,0.0,cosine,15,eom,euclidean,whiten_64,12,0.5187,0.2432,0.483
35,10,0.0,cosine,15,eom,cosine,whiten_64,12,0.5127,0.3793,0.621
35,10,0.05,correlation,10,eom,cosine,whiten_64,15,0.4438,0.3333,0.6692
35,10,0.05,correlation,10,eom,euclidean,whiten_64,15,0.4099,0.2752,0.4616
35,10,0.05,correlation,15,eom,cosine,whiten_64,12,0.5127,0.3152,0.6167
35,10,0.05,correlation,15,eom,euclidean,whiten_64,13,0.5224,0.229,0.4901
35,10,0.05,cosine,10,eom,cosine,whiten_64,2,0.0,0.9307,0.711
35,10,0.05,cosine,10,eom,euclidean,whiten_64,20,0.4063,0.3365,0.5031
35,10,0.05,cosine,15,eom,euclidean,whiten_64,11,0.5163,0.2223,0.4682
35,10,0.05,cosine,15,eom,cosine,whiten_64,11,0.5054,0.3465,0.626
35,15,0.0,correlation,10,eom,cosine,whiten_64,15,0.4619,0.3832,0.6837
35,15,0.0,correlation,10,eom,euclidean,whiten_64,19,0.4595,0.2964,0.547
35,15,0.0,correlation,15,eom,cosine,whiten_64,11,0.5272,0.3171,0.654
35,15,0.0,cosine,10,eom,cosine,whiten_64,18,0.4426,0.3955,0.6761
35,15,0.0,correlation,15,eom,euclidean,whiten_64,11,0.52,0.2402,0.4828
35,15,0.0,cosine,15,eom,cosine,whiten_64,13,0.5586,0.3393,0.7203
35,15,0.0,cosine,10,eom,euclidean,whiten_64,19,0.4921,0.2817,0.5779
35,15,0.0,cosine,15,eom,euclidean,whiten_64,13,0.5441,0.2527,0.5358
35,15,0.05,correlation,10,eom,cosine,whiten_64,15,0.4522,0.3573,0.6926
35,15,0.05,correlation,10,eom,euclidean,whiten_64,19,0.4111,0.2644,0.4948
35,15,0.05,cosine,10,eom,cosine,whiten_64,18,0.4631,0.3845,0.6709
35,15,0.05,correlation,15,eom,cosine,whiten_64,2,0.0278,0.4851,0.3986
35,15,0.05,correlation,15,eom,euclidean,whiten_64,9,0.6119,0.1882,0.5203
35,15,0.05,cosine,10,eom,euclidean,whiten_64,18,0.4462,0.2482,0.5024
35,15,0.05,cosine,15,eom,cosine,whiten_64,10,0.6288,0.2543,0.7069
35,15,0.05,cosine,15,eom,euclidean,whiten_64,10,0.5998,0.1956,0.5031
15,10,0.0,correlation,10,eom,cosine,whiten_128,18,0.4849,0.3138,0.6157
15,10,0.0,correlation,10,eom,euclidean,whiten_128,15,0.4813,0.2757,0.4977
15,10,0.0,correlation,15,eom,cosine,whiten_128,13,0.5478,0.3058,0.6789
15,10,0.0,cosine,10,eom,cosine,whiten_128,18,0.4583,0.3776,0.6896
15,10,0.0,cosine,15,eom,cosine,whiten_128,13,0.6131,0.2221,0.6895
15,10,0.0,correlation,15,eom,euclidean,whiten_128,13,0.5792,0.2185,0.5561
15,10,0.0,cosine,10,eom,euclidean,whiten_128,19,0.4692,0.2298,0.4838
15,10,0.0,cosine,15,eom,euclidean,whiten_128,2,0.1233,0.2123,0.2659
15,10,0.05,correlation,10,eom,cosine,whiten_128,16,0.4813,0.3263,0.6663
15,10,0.05,correlation,10,eom,euclidean,whiten_128,16,0.555,0.1743,0.5025
15,10,0.05,correlation,15,eom,euclidean,whiten_128,12,0.5949,0.1787,0.5001
15,10,0.05,correlation,15,eom,cosine,whiten_128,10,0.607,0.2743,0.5643
15,10,0.05,cosine,10,eom,cosine,whiten_128,21,0.5949,0.3054,0.7342
15,10,0.05,cosine,10,eom,euclidean,whiten_128,21,0.5671,0.2189,0.5571
15,10,0.05,cosine,15,eom,cosine,whiten_128,8,0.7545,0.1674,0.6975
15,10,0.05,cosine,15,eom,euclidean,whiten_128,8,0.6312,0.0778,0.3454
15,15,0.0,correlation,10,eom,cosine,whiten_128,18,0.5381,0.3272,0.6882
15,15,0.0,correlation,10,eom,euclidean,whiten_128,18,0.4607,0.1948,0.4634
15,15,0.0,correlation,15,eom,cosine,whiten_128,7,0.711,0.2166,0.7112
15,15,0.0,correlation,15,eom,euclidean,whiten_128,11,0.6252,0.1631,0.5121
15,15,0.0,cosine,10,eom,cosine,whiten_128,16,0.5236,0.3204,0.6686
15,15,0.0,cosine,10,eom,euclidean,whiten_128,15,0.5381,0.2065,0.5208
15,15,0.0,cosine,15,eom,cosine,whiten_128,12,0.5998,0.2813,0.6898
15,15,0.0,cosine,15,eom,euclidean,whiten_128,12,0.6143,0.1836,0.5298
15,15,0.05,correlation,10,eom,euclidean,whiten_128,14,0.5792,0.1752,0.4971
15,15,0.05,correlation,15,eom,euclidean,whiten_128,9,0.6046,0.1427,0.4191
15,15,0.05,correlation,10,eom,cosine,whiten_128,15,0.5466,0.3019,0.5624
15,15,0.05,correlation,15,eom,cosine,whiten_128,10,0.711,0.2226,0.7668
15,15,0.05,cosine,15,eom,euclidean,whiten_128,10,0.5828,0.1446,0.4001
15,15,0.05,cosine,10,eom,euclidean,whiten_128,17,0.5453,0.1847,0.4912
15,15,0.05,cosine,10,eom,cosine,whiten_128,16,0.5852,0.2757,0.7236
15,15,0.05,cosine,15,eom,cosine,whiten_128,11,0.6288,0.2543,0.6593
35,10,0.0,correlation,10,eom,euclidean,whiten_128,20,0.4946,0.2295,0.5119
35,10,0.0,correlation,15,eom,cosine,whiten_128,10,0.6312,0.2355,0.6667
35,10,0.0,correlation,10,eom,cosine,whiten_128,22,0.5224,0.3548,0.6987
35,10,0.0,correlation,15,eom,euclidean,whiten_128,10,0.6252,0.1498,0.4954
35,10,0.0,cosine,10,eom,euclidean,whiten_128,2,0.0109,0.2923,0.255
35,10,0.0,cosine,10,eom,cosine,whiten_128,19,0.4873,0.324,0.6447
35,10,0.0,cosine,15,eom,cosine,whiten_128,10,0.5502,0.2527,0.571
35,10,0.0,cosine,15,eom,euclidean,whiten_128,10,0.5719,0.1741,0.4296
35,10,0.05,correlation,10,eom,cosine,whiten_128,15,0.555,0.2685,0.6071
35,10,0.05,correlation,10,eom,euclidean,whiten_128,18,0.5296,0.2226,0.4923
35,10,0.05,correlation,15,eom,cosine,whiten_128,10,0.6614,0.2261,0.6986
35,10,0.05,correlation,15,eom,euclidean,whiten_128,10,0.4849,0.1503,0.4137
35,10,0.05,cosine,15,eom,cosine,whiten_128,8,0.7243,0.1851,0.7591
35,10,0.05,cosine,10,eom,cosine,whiten_128,19,0.5212,0.321,0.6444
35,10,0.05,cosine,10,eom,euclidean,whiten_128,18,0.5103,0.1966,0.4611
35,10,0.05,cosine,15,eom,euclidean,whiten_128,8,0.7134,0.1471,0.5643
35,15,0.0,correlation,10,eom,cosine,whiten_128,16,0.5768,0.2925,0.6837
